freq_hz,s0_db,s1_db,s2_db,s3_db,s4_db,s5_db,composite_db
# M0_Q0
266.49,-36.88,9.50,-4.34,-7.07,-3.97,43.47,12.75
270.09,-36.90,9.52,-4.34,-7.07,-3.97,43.49,12.77
273.74,-36.92,9.54,-4.34,-7.07,-3.97,43.52,12.79
277.44,-36.95,9.56,-4.34,-7.07,-3.97,43.54,12.81
281.19,-36.97,9.58,-4.34,-7.07,-3.97,43.56,12.83
284.99,-36.99,9.60,-4.34,-7.07,-3.97,43.59,12.85
288.84,-37.02,9.63,-4.34,-7.07,-3.97,43.61,12.88
292.74,-37.05,9.65,-4.34,-7.07,-3.97,43.64,12.90
296.69,-37.07,9.67,-4.34,-7.07,-3.97,43.67,12.93
300.70,-37.10,9.70,-4.34,-7.07,-3.97,43.70,12.95
304.76,-37.13,9.73,-4.34,-7.07,-3.97,43.73,12.98
308.88,-37.16,9.75,-4.34,-7.07,-3.97,43.76,13.01
313.05,-37.19,9.78,-4.34,-7.08,-3.97,43.79,13.03
317.28,-37.22,9.81,-4.34,-7.08,-3.97,43.82,13.06
321.57,-37.25,9.84,-4.34,-7.08,-3.97,43.85,13.09
325.91,-37.28,9.87,-4.34,-7.08,-3.97,43.89,13.12
330.31,-37.32,9.90,-4.34,-7.08,-3.97,43.92,13.15
334.77,-37.35,9.93,-4.34,-7.08,-3.97,43.96,13.19
339.30,-37.39,9.96,-4.35,-7.08,-3.97,43.99,13.22
343.88,-37.43,10.00,-4.35,-7.08,-3.97,44.03,13.25
348.52,-37.46,10.03,-4.35,-7.08,-3.97,44.07,13.29
353.23,-37.50,10.07,-4.35,-7.08,-3.97,44.11,13.32
358.00,-37.54,10.11,-4.35,-7.08,-3.97,44.15,13.36
362.84,-37.59,10.14,-4.35,-7.08,-3.97,44.19,13.40
367.74,-37.63,10.18,-4.35,-7.08,-3.97,44.24,13.44
372.71,-37.67,10.22,-4.35,-7.08,-3.97,44.28,13.48
377.74,-37.72,10.26,-4.35,-7.08,-3.97,44.33,13.52
382.85,-37.77,10.31,-4.35,-7.08,-3.97,44.38,13.57
388.02,-37.81,10.35,-4.35,-7.08,-3.97,44.43,13.61
393.26,-37.86,10.40,-4.35,-7.08,-3.97,44.48,13.66
398.57,-37.92,10.44,-4.35,-7.08,-3.97,44.53,13.70
403.96,-37.97,10.49,-4.35,-7.08,-3.97,44.58,13.75
409.41,-38.02,10.54,-4.35,-7.08,-3.97,44.64,13.80
414.94,-38.08,10.59,-4.35,-7.08,-3.97,44.70,13.85
420.55,-38.14,10.64,-4.35,-7.08,-3.97,44.76,13.90
426.23,-38.20,10.70,-4.35,-7.08,-3.97,44.82,13.96
431.99,-38.26,10.75,-4.35,-7.08,-3.97,44.88,14.01
437.82,-38.32,10.81,-4.35,-7.09,-3.97,44.95,14.07
443.74,-38.39,10.87,-4.35,-7.09,-3.97,45.01,14.13
449.73,-38.46,10.93,-4.35,-7.09,-3.97,45.08,14.19
455.80,-38.53,10.99,-4.35,-7.09,-3.97,45.15,14.25
461.96,-38.60,11.05,-4.35,-7.09,-3.97,45.22,14.31
468.20,-38.68,11.12,-4.35,-7.09,-3.97,45.30,14.38
474.53,-38.75,11.19,-4.35,-7.09,-3.97,45.38,14.44
480.94,-38.83,11.25,-4.35,-7.09,-3.97,45.46,14.51
487.43,-38.91,11.32,-4.35,-7.09,-3.97,45.54,14.58
494.02,-39.00,11.40,-4.35,-7.09,-3.97,45.62,14.65
500.69,-39.09,11.47,-4.35,-7.09,-3.97,45.71,14.72
507.45,-39.18,11.54,-4.35,-7.09,-3.97,45.80,14.80
514.31,-39.27,11.62,-4.35,-7.09,-3.97,45.89,14.87
521.26,-39.37,11.70,-4.35,-7.09,-3.97,45.99,14.95
528.30,-39.46,11.78,-4.35,-7.09,-3.97,46.09,15.02
535.43,-39.57,11.86,-4.36,-7.10,-3.97,46.19,15.10
542.67,-39.67,11.94,-4.36,-7.10,-3.97,46.29,15.18
550.00,-39.78,12.02,-4.36,-7.10,-3.97,46.40,15.26
557.43,-39.89,12.10,-4.36,-7.10,-3.97,46.51,15.33
564.96,-40.01,12.18,-4.36,-7.10,-3.97,46.62,15.41
572.59,-40.13,12.27,-4.36,-7.10,-3.97,46.73,15.49
580.32,-40.25,12.35,-4.36,-7.10,-3.97,46.85,15.56
588.16,-40.37,12.43,-4.36,-7.10,-3.97,46.97,15.64
596.11,-40.50,12.51,-4.36,-7.10,-3.97,47.09,15.71
604.16,-40.64,12.58,-4.36,-7.10,-3.97,47.22,15.77
612.32,-40.77,12.66,-4.36,-7.11,-3.97,47.35,15.84
620.59,-40.91,12.72,-4.36,-7.11,-3.97,47.48,15.89
628.97,-41.06,12.79,-4.36,-7.11,-3.97,47.61,15.95
637.47,-41.20,12.85,-4.36,-7.11,-3.97,47.74,15.99
646.08,-41.35,12.90,-4.36,-7.11,-3.97,47.87,16.02
654.81,-41.50,12.94,-4.36,-7.11,-3.97,48.01,16.05
663.65,-41.66,12.97,-4.36,-7.11,-3.97,48.14,16.06
672.62,-41.81,13.00,-4.37,-7.11,-3.97,48.27,16.05
681.70,-41.97,13.00,-4.37,-7.12,-3.97,48.40,16.03
690.91,-42.12,13.00,-4.37,-7.12,-3.97,48.53,16.00
700.25,-42.28,12.97,-4.37,-7.12,-3.97,48.65,15.94
709.71,-42.43,12.93,-4.37,-7.12,-3.97,48.77,15.86
719.29,-42.59,12.87,-4.37,-7.12,-3.96,48.88,15.75
729.01,-42.73,12.79,-4.37,-7.12,-3.96,48.98,15.62
738.86,-42.87,12.68,-4.37,-7.12,-3.96,49.08,15.47
748.84,-43.00,12.56,-4.37,-7.13,-3.96,49.15,15.28
758.95,-43.13,12.40,-4.37,-7.13,-3.96,49.22,15.07
769.20,-43.23,12.23,-4.38,-7.13,-3.96,49.27,14.83
779.59,-43.33,12.02,-4.38,-7.13,-3.96,49.29,14.56
790.13,-43.40,11.80,-4.38,-7.13,-3.96,49.30,14.26
800.80,-43.45,11.55,-4.38,-7.13,-3.96,49.29,13.94
811.62,-43.48,11.27,-4.38,-7.14,-3.96,49.24,13.59
822.58,-43.48,10.98,-4.38,-7.14,-3.96,49.18,13.23
833.69,-43.46,10.66,-4.38,-7.14,-3.96,49.08,12.84
844.95,-43.40,10.32,-4.38,-7.14,-3.96,48.96,12.44
856.37,-43.31,9.97,-4.39,-7.14,-3.96,48.82,12.02
867.93,-43.19,9.60,-4.39,-7.15,-3.96,48.64,11.60
879.66,-43.03,9.21,-4.39,-7.15,-3.96,48.44,11.16
891.54,-42.84,8.81,-4.39,-7.15,-3.96,48.22,10.72
903.58,-42.62,8.40,-4.39,-7.15,-3.96,47.97,10.28
915.79,-42.38,7.97,-4.39,-7.16,-3.96,47.70,9.83
928.16,-42.11,7.54,-4.40,-7.16,-3.96,47.42,9.38
940.70,-41.81,7.10,-4.40,-7.16,-3.96,47.12,8.92
953.40,-41.49,6.65,-4.40,-7.16,-3.96,46.80,8.47
966.28,-41.16,6.19,-4.40,-7.17,-3.96,46.47,8.01
979.34,-40.81,5.72,-4.41,-7.17,-3.96,46.13,7.55
992.57,-40.45,5.25,-4.41,-7.17,-3.96,45.78,7.09
1005.97,-40.08,4.78,-4.41,-7.18,-3.96,45.43,6.62
1019.56,-39.70,4.30,-4.41,-7.18,-3.96,45.07,6.15
1033.33,-39.32,3.81,-4.42,-7.18,-3.96,44.71,5.68
1047.29,-38.93,3.32,-4.42,-7.19,-3.96,44.34,5.20
1061.44,-38.54,2.82,-4.42,-7.19,-3.96,43.98,4.72
1075.78,-38.15,2.32,-4.42,-7.19,-3.96,43.61,4.24
1090.31,-37.76,1.81,-4.43,-7.20,-3.96,43.24,3.74
1105.04,-37.37,1.29,-4.43,-7.20,-3.96,42.87,3.25
1119.96,-36.98,0.77,-4.43,-7.20,-3.96,42.50,2.74
1135.09,-36.59,0.25,-4.44,-7.21,-3.96,42.14,2.23
1150.43,-36.21,-0.29,-4.44,-7.21,-3.96,41.77,1.71
1165.97,-35.82,-0.82,-4.45,-7.22,-3.96,41.41,1.19
1181.72,-35.44,-1.37,-4.45,-7.22,-3.96,41.05,0.65
1197.68,-35.07,-1.93,-4.45,-7.23,-3.96,40.70,0.11
1213.86,-34.69,-2.49,-4.46,-7.23,-3.96,40.34,-0.45
1230.25,-34.32,-3.07,-4.46,-7.23,-3.96,39.99,-1.01
1246.87,-33.95,-3.65,-4.47,-7.24,-3.96,39.64,-1.59
1263.72,-33.59,-4.24,-4.48,-7.24,-3.96,39.29,-2.17
1280.79,-33.23,-4.85,-4.48,-7.25,-3.96,38.95,-2.78
1298.09,-32.87,-5.47,-4.49,-7.26,-3.96,38.61,-3.39
1315.62,-32.52,-6.10,-4.49,-7.26,-3.95,38.27,-4.02
1333.39,-32.17,-6.74,-4.50,-7.27,-3.95,37.94,-4.66
1351.41,-31.83,-7.40,-4.51,-7.27,-3.95,37.60,-5.32
1369.66,-31.48,-8.08,-4.52,-7.28,-3.95,37.27,-5.99
1388.16,-31.14,-8.76,-4.53,-7.28,-3.95,36.95,-6.68
1406.91,-30.81,-9.47,-4.53,-7.29,-3.95,36.62,-7.38
1425.92,-30.47,-10.18,-4.54,-7.30,-3.95,36.30,-8.10
1445.18,-30.14,-10.90,-4.55,-7.30,-3.95,35.98,-8.83
1464.70,-29.81,-11.62,-4.57,-7.31,-3.95,35.66,-9.56
1484.49,-29.49,-12.35,-4.58,-7.32,-3.95,35.35,-10.29
1504.54,-29.17,-13.05,-4.59,-7.33,-3.95,35.04,-11.01
1524.86,-28.85,-13.73,-4.60,-7.33,-3.95,34.73,-11.70
1545.46,-28.53,-14.37,-4.62,-7.34,-3.95,34.42,-12.34
1566.34,-28.21,-14.93,-4.63,-7.35,-3.95,34.11,-12.92
1587.50,-27.90,-15.40,-4.65,-7.36,-3.95,33.81,-13.41
1608.94,-27.59,-15.75,-4.67,-7.37,-3.95,33.51,-13.78
1630.67,-27.28,-15.97,-4.69,-7.38,-3.95,33.20,-14.02
1652.70,-26.98,-16.06,-4.71,-7.39,-3.95,32.91,-14.13
1675.03,-26.67,-16.02,-4.74,-7.40,-3.95,32.61,-14.12
1697.65,-26.37,-15.86,-4.76,-7.41,-3.94,32.31,-13.99
1720.59,-26.07,-15.62,-4.79,-7.42,-3.94,32.02,-13.78
1743.83,-25.77,-15.31,-4.83,-7.43,-3.94,31.73,-13.51
1767.38,-25.48,-14.96,-4.86,-7.44,-3.94,31.44,-13.19
1791.26,-25.18,-14.58,-4.90,-7.45,-3.94,31.15,-12.86
1815.45,-24.89,-14.19,-4.94,-7.46,-3.94,30.86,-12.52
1839.98,-24.60,-13.80,-4.99,-7.47,-3.94,30.58,-12.19
1864.83,-24.31,-13.42,-5.05,-7.49,-3.94,30.29,-11.87
1890.02,-24.02,-13.04,-5.11,-7.50,-3.94,30.01,-11.56
1915.55,-23.74,-12.68,-5.18,-7.51,-3.94,29.73,-11.28
1941.43,-23.45,-12.33,-5.26,-7.53,-3.94,29.45,-11.02
1967.65,-23.17,-12.00,-5.35,-7.54,-3.93,29.17,-10.78
1994.23,-22.88,-11.69,-5.45,-7.56,-3.93,28.89,-10.58
2021.17,-22.60,-11.38,-5.57,-7.57,-3.93,28.61,-10.41
2048.47,-22.32,-11.10,-5.70,-7.59,-3.93,28.34,-10.26
2076.15,-22.04,-10.83,-5.85,-7.61,-3.93,28.06,-10.16
2104.19,-21.77,-10.57,-6.03,-7.62,-3.93,27.79,-10.09
2132.61,-21.49,-10.32,-6.22,-7.64,-3.93,27.51,-10.05
2161.42,-21.21,-10.09,-6.45,-7.66,-3.93,27.24,-10.05
2190.62,-20.94,-9.87,-6.69,-7.68,-3.93,26.97,-10.09
2220.21,-20.67,-9.66,-6.96,-7.70,-3.92,26.70,-10.16
2250.20,-20.39,-9.46,-7.23,-7.72,-3.92,26.43,-10.25
2280.60,-20.12,-9.26,-7.49,-7.74,-3.92,26.16,-10.34
2311.40,-19.85,-9.08,-7.71,-7.76,-3.92,25.89,-10.40
2342.63,-19.58,-8.91,-7.85,-7.79,-3.92,25.62,-10.39
2374.27,-19.31,-8.74,-7.89,-7.81,-3.92,25.36,-10.28
2406.34,-19.04,-8.58,-7.80,-7.84,-3.91,25.09,-10.05
2438.85,-18.78,-8.43,-7.60,-7.86,-3.91,24.82,-9.72
2471.79,-18.51,-8.29,-7.31,-7.89,-3.91,24.56,-9.31
2505.18,-18.24,-8.15,-6.98,-7.92,-3.91,24.29,-8.87
2539.02,-17.98,-8.02,-6.64,-7.95,-3.91,24.03,-8.43
2573.32,-17.71,-7.89,-6.32,-7.98,-3.90,23.77,-8.01
2608.08,-17.45,-7.77,-6.03,-8.01,-3.90,23.50,-7.62
2643.31,-17.19,-7.66,-5.77,-8.05,-3.90,23.24,-7.28
2679.02,-16.92,-7.54,-5.55,-8.08,-3.90,22.98,-6.98
2715.21,-16.66,-7.44,-5.36,-8.12,-3.90,22.72,-6.72
2751.88,-16.40,-7.33,-5.20,-8.16,-3.89,22.45,-6.49
2789.06,-16.14,-7.24,-5.07,-8.20,-3.89,22.19,-6.30
2826.73,-15.88,-7.14,-4.95,-8.25,-3.89,21.93,-6.13
2864.91,-15.62,-7.05,-4.85,-8.29,-3.88,21.67,-5.98
2903.61,-15.36,-6.96,-4.77,-8.34,-3.88,21.41,-5.86
2942.84,-15.10,-6.88,-4.70,-8.39,-3.88,21.15,-5.75
2982.59,-14.84,-6.80,-4.64,-8.44,-3.87,20.89,-5.66
3022.88,-14.58,-6.72,-4.59,-8.49,-3.87,20.63,-5.58
3063.71,-14.33,-6.64,-4.55,-8.55,-3.87,20.37,-5.52
3105.10,-14.07,-6.57,-4.51,-8.61,-3.86,20.11,-5.47
3147.04,-13.81,-6.50,-4.47,-8.68,-3.86,19.85,-5.43
3189.55,-13.56,-6.43,-4.44,-8.75,-3.85,19.60,-5.40
3232.64,-13.30,-6.37,-4.42,-8.82,-3.85,19.34,-5.38
3276.30,-13.05,-6.31,-4.40,-8.90,-3.85,19.08,-5.37
3320.56,-12.79,-6.25,-4.38,-8.98,-3.84,18.82,-5.37
3365.42,-12.54,-6.19,-4.36,-9.06,-3.84,18.56,-5.38
3410.88,-12.28,-6.13,-4.34,-9.16,-3.83,18.30,-5.40
3456.95,-12.03,-6.08,-4.33,-9.25,-3.82,18.04,-5.43
3503.65,-11.78,-6.03,-4.32,-9.36,-3.82,17.79,-5.47
3550.98,-11.53,-5.98,-4.31,-9.47,-3.81,17.53,-5.52
3598.94,-11.27,-5.93,-4.30,-9.59,-3.80,17.27,-5.58
3647.56,-11.02,-5.88,-4.29,-9.72,-3.80,17.01,-5.66
3696.83,-10.77,-5.83,-4.28,-9.86,-3.79,16.75,-5.74
3746.77,-10.52,-5.79,-4.27,-10.01,-3.78,16.49,-5.84
3797.38,-10.27,-5.75,-4.27,-10.17,-3.77,16.23,-5.96
3848.67,-10.02,-5.70,-4.26,-10.35,-3.76,15.97,-6.09
3900.66,-9.78,-5.66,-4.26,-10.55,-3.75,15.72,-6.24
3953.35,-9.53,-5.63,-4.25,-10.76,-3.74,15.46,-6.41
4006.76,-9.28,-5.59,-4.25,-10.99,-3.73,15.20,-6.60
