kind,rail_hz,band,total_hits,endpoint_hits,grid_hits,skin_count,variant_count,top_stages,top_states,nearest_table,nearest_table_label,nearest_table_target_hz,nearest_table_cents
pole,405.0,low-mid,57,10,57,28,42,S6:17;S2:15;S3:9;S5:7,GRID:45;HOME:5;CENTER:2;PUSH_HOME:2;PUSH_AWAY:2,vowel,ih:f1,390.0,65.34
zero,640.0,low-mid,53,10,53,27,31,S2:24;S5:9;S4:7;S1:5,GRID:43;AWAY:5;HOME:2;PUSH_HOME:2;PUSH_AWAY:1,vowel,uh:f1,640.0,0.0
zero,1470.0,mouth,64,10,64,27,36,S2:22;S1:13;S6:10;S5:8,GRID:52;PUSH_HOME:4;HOME:3;CENTER:2;AWAY:2,tube,co_18cm:p2,1429.0,48.97
pole,104.0,sub,84,10,84,26,43,S2:28;S6:21;S3:12;S4:9,GRID:68;CENTER:6;AWAY:4;HOME:3;PUSH_HOME:2,,,,
pole,184.0,low,49,10,49,25,40,S2:16;S6:15;S4:9;S3:3,GRID:36;AWAY:5;HOME:4;CENTER:3;PUSH_AWAY:1,,,,
zero,260.0,low,72,10,72,25,43,S2:19;S1:15;S4:11;S3:10,GRID:58;PUSH_HOME:5;CENTER:4;AWAY:2;HOME:2,vowel,iy:f1,270.0,65.34
zero,490.0,low-mid,57,10,57,24,36,S2:18;S1:14;S3:8;S5:7,GRID:44;HOME:4;PUSH_HOME:4;CENTER:3;AWAY:1,vowel,er:f1,490.0,0.0
pole,635.0,low-mid,41,10,41,23,34,S2:13;S6:9;S1:5;S5:5,GRID:31;PUSH_AWAY:7;PUSH_HOME:2;HOME:1,vowel,uh:f1,640.0,13.58
pole,2150.0,bite,31,10,31,23,30,S5:7;S4:6;S3:6;S1:4,GRID:21;AWAY:6;HOME:2;PUSH_HOME:2,klatt,u:f3,2200.0,39.8
pole,850.0,mouth,41,10,41,22,30,S2:11;S3:9;S6:6;S1:6,GRID:30;PUSH_HOME:4;AWAY:2;HOME:2;PUSH_AWAY:2,tube,co_50cm:p3,858.0,16.22
pole,1600.0,bite,31,10,31,21,29,S3:8;S4:7;S6:6;S5:4,GRID:21;HOME:4;AWAY:3;PUSH_HOME:3,tube,co_50cm:p5,1544.0,61.68
